Date,Name,Year,Letterboxd URI,Rating
2024-07-31,The Godfather Part III,1990,https://boxd.it/2aN6,1
2024-07-31,First Blood,1982,https://boxd.it/28U0,3
2024-07-31,The 400 Blows,1959,https://boxd.it/2b1C,4
2024-07-31,Guy Ritchie's The Covenant,2023,https://boxd.it/xjcK,1
2024-07-31,Top Gun: Maverick,2022,https://boxd.it/cjr4,1
2024-07-31,Catch Me If You Can,2002,https://boxd.it/29VS,2.5
2024-07-31,Saving Private Ryan,1998,https://boxd.it/29ro,2
2024-07-31,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,3.5
2024-07-31,Fargo,1996,https://boxd.it/2aHM,2.5
2024-07-31,Coming to America,1988,https://boxd.it/1Ygu,2
2024-07-31,Scarface,1983,https://boxd.it/2b7g,3
2024-08-13,Monster,2023,https://boxd.it/DJEM,4
2024-08-23,The Handmaiden,2016,https://boxd.it/948A,2.5
2024-08-26,Moolaadé,2004,https://boxd.it/13w6,4
2024-09-09,Spirited Away,2001,https://boxd.it/2b4m,3.5
2024-09-29,Fallen Angels,1995,https://boxd.it/1UkW,3
2024-10-21,Perfect Days,2023,https://boxd.it/ATh8,2
2024-10-28,Vertigo,1958,https://boxd.it/2apI,3.5
2024-11-25,Chungking Express,1994,https://boxd.it/1UDa,4
2024-12-07,GoodFellas,1990,https://boxd.it/29FA,4
2024-12-13,Taipei Story,1985,https://boxd.it/3BkC,3
2024-12-16,Magnolia,1999,https://boxd.it/2aze,3.5
2024-12-17,Saint Omer,2022,https://boxd.it/yShC,3
2025-01-04,Blow Out,1981,https://boxd.it/1TlE,3.5
2025-01-13,A Taxi Driver,2017,https://boxd.it/fwac,2
2025-01-20,Emitaï,1971,https://boxd.it/4cso,4.5
2025-01-20,Hyenas,1992,https://boxd.it/45gg,5
2025-01-21,Memento,2000,https://boxd.it/2bcK,3
2025-01-21,Lawrence of Arabia,1962,https://boxd.it/2wRE,4.5
2025-01-21,Nobody Knows,2004,https://boxd.it/26E0,3.5
2025-01-25,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG,4.5
2025-02-03,The Piano Teacher,2001,https://boxd.it/2886,2
2025-02-19,Thief,1981,https://boxd.it/1TEc,3.5
2025-02-20,Full Metal Jacket,1987,https://boxd.it/2a1Q,3
2025-04-01,"Like Father, Like Son",2013,https://boxd.it/5rQs,3.5
2025-04-25,Souleymane's Story,2024,https://boxd.it/HQVy,4
2025-05-20,Kiki's Delivery Service,1989,https://boxd.it/1JAY,3.5
2025-06-01,Final Destination Bloodlines,2025,https://boxd.it/l5y4,2
2025-06-16,Solaris,1972,https://boxd.it/2a2Y,4
2025-07-07,The Night of Counting the Years,1969,https://boxd.it/Mxm,4
2025-07-21,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,4
2025-08-03,Conclave,2024,https://boxd.it/AO8q,3
2025-08-03,The Aviator's Wife,1981,https://boxd.it/1srq,4.5
2025-08-03,Boyfriends and Girlfriends,1987,https://boxd.it/14C,4
2025-09-04,My Night at Maud's,1969,https://boxd.it/Hwo,5
2025-09-04,Day for Night,1973,https://boxd.it/28kG,4.5
2025-09-08,Soundtrack to a Coup d'Etat,2024,https://boxd.it/K5gk,4
2025-09-13,Ford v Ferrari,2019,https://boxd.it/ce74,2.5
2025-10-06,Cure,1997,https://boxd.it/1blA,3
2025-10-12,La Cérémonie,1995,https://boxd.it/287C,4
2025-10-19,The Master,2012,https://boxd.it/2cBG,4
2025-10-19,Phantom Thread,2017,https://boxd.it/e4uc,4
2025-10-20,Barry Lyndon,1975,https://boxd.it/25A2,3.5
2025-10-20,One Battle After Another,2025,https://boxd.it/DUHM,3
2025-10-26,Vagabond,1985,https://boxd.it/T0u,3
2025-11-15,Soleil O,1970,https://boxd.it/5TR4,5
2025-11-15,Love in the Afternoon,1972,https://boxd.it/1Svo,3.5
2025-11-17,La Jetée,1962,https://boxd.it/29Sk,4
2025-11-19,Fireworks,1997,https://boxd.it/22mQ,4.5
2025-11-27,Training Day,2001,https://boxd.it/27A4,4
2025-12-01,Good Will Hunting,1997,https://boxd.it/2ahY,3
2025-12-08,Chameleon Street,1989,https://boxd.it/3v94,3.5
2025-12-15,Rear Window,1954,https://boxd.it/2a6Q,4.5
2026-01-05,On Becoming a Guinea Fowl,2024,https://boxd.it/EXzS,3.5
2026-01-05,Princess Mononoke,1997,https://boxd.it/2b4w,4
2026-01-16,Marty Supreme,2025,https://boxd.it/Off0,3
2026-01-26,First Reformed,2017,https://boxd.it/go9C,4
2026-02-02,Sarraounia,1986,https://boxd.it/53XE,5
2026-02-23,Camp de Thiaroye,1988,https://boxd.it/3vWg,4.5
2026-03-01,West Indies,1979,https://boxd.it/8bHg,5
2026-03-16,Kaili Blues,2015,https://boxd.it/cksW,4
2026-03-30,Project Hail Mary,2026,https://boxd.it/pEeQ,2.5
