,Title,Year,Director,Genres,P(Liked)
630,Noriko's Dinner Table,2005,Sion Sono,Drama|Horror,0.435
631,Zootopia 2,2025,Jared Bush,Animation|Family|Mystery|Adventure|Comedy,0.435
632,RRR,2022,S. S. Rajamouli,Action|Adventure|Drama,0.434
633,The Lord of the Rings: The Two Towers,2002,Peter Jackson,Adventure|Fantasy|Action,0.432
634,Amy,2015,Asif Kapadia,Documentary|Music,0.432
635,The Daytrippers,1996,Greg Mottola,Comedy|Drama,0.432
636,Gummo,1997,Harmony Korine,Drama|Comedy,0.431
637,Omar Killed Me,2011,Roschdy Zem,Drama|Thriller,0.43
638,The Count of Monte Cristo,2024,Alexandre de La Patellière,Adventure|Action|Drama,0.427
639,Runaway,2010,Ye,Music|Fantasy|Romance,0.427
640,Belly,1998,Hype Williams,Crime|Drama,0.427
641,Paper Soldiers,2002,Damon Dash,Action|Comedy,0.426
642,Father & Soldier,2022,Mathieu Vadepied,War|Drama|History,0.425
643,The Legend of 1900,1998,Giuseppe Tornatore,Drama|Music,0.424
644,Nowhere,1997,Gregg Araki,Comedy|Drama|Science Fiction,0.424
645,The Thin Red Line,1998,Terrence Malick,Drama|History|War,0.424
646,No Other Choice,2025,Park Chan-wook,Comedy|Crime|Thriller,0.423
647,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,Animation|Action|Adventure|Science Fiction,0.422
648,The River,1997,Tsai Ming-liang,Drama|Romance,0.42
649,Night on Earth,1991,Jim Jarmusch,Comedy|Drama,0.419
650,Pearl,2022,Ti West,Horror|Thriller,0.418
651,Crash,1996,David Cronenberg,Thriller|Drama,0.418
652,Killers of the Flower Moon,2023,Martin Scorsese,Crime|History|Drama,0.416
653,State Property: Blood on the Streets,2005,Damon Dash,Crime|Action|Drama,0.415
654,Lan Yu,2001,Stanley Kwan Kam-Pang,Drama|Romance,0.412
655,Decision to Leave,2022,Park Chan-wook,Thriller|Mystery|Romance,0.411
656,Wake Up Dead Man,2025,Rian Johnson,Thriller|Mystery|Comedy,0.411
657,The Menu,2022,Mark Mylod,Comedy|Horror,0.407
658,The Prince of Egypt,1998,Brenda Chapman,Adventure|Animation|Drama|Family,0.407
659,X,2022,Ti West,Horror|Thriller,0.406
660,Shottas,2002,Cess Silvera,Action|Adventure|Crime|Drama,0.403
661,Black Dynamite,2009,Scott Sanders,Comedy|Action,0.402
662,Zodiac,2007,David Fincher,Crime|Mystery|Thriller,0.394
663,The Annihilation of Fish,1999,Charles Burnett,Drama|Romance|Comedy,0.392
664,Children of Men,2006,Alfonso Cuarón,Science Fiction|Thriller|Action,0.387
665,Babylon,2022,Damien Chazelle,Drama|Comedy,0.386
666,Vampire Hunter D: Bloodlust,2000,Yoshiaki Kawajiri,Animation|Fantasy|Horror|Action|Adventure|Science Fiction,0.386
667,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,Comedy|War,0.386
668,Remember the Titans,2000,Boaz Yakin,Drama,0.385
669,Captain Phillips,2013,Paul Greengrass,Action|Drama|Thriller,0.385
670,Johnny Mnemonic,1995,Robert Longo,Science Fiction|Action|Adventure,0.384
671,Poor Things,2023,Yorgos Lanthimos,Science Fiction|Romance|Comedy,0.384
672,Monkey Man,2024,Dev Patel,Action|Thriller,0.38
673,ATL,2006,Chris Robinson,Drama|Comedy,0.38
674,Love Jones,1997,Theodore Witcher,Comedy|Drama|Romance,0.379
675,Lady Vengeance,2005,Park Chan-wook,Drama|Thriller,0.375
676,Baby Boy,2001,John Singleton,Crime|Drama|Romance|Thriller,0.375
677,Wings of Desire,1987,Wim Wenders,Drama|Fantasy|Romance,0.374
678,Gone Girl,2014,David Fincher,Mystery|Thriller|Drama,0.372
679,Fear and Loathing in Las Vegas,1998,Terry Gilliam,Adventure|Drama|Comedy,0.371
680,Mad Max: Fury Road,2015,George Miller,Action|Adventure|Science Fiction,0.371
681,La Vie en Rose,2007,Olivier Dahan,Music|Drama,0.368
682,Summer Palace,2006,Lou Ye,Drama|Romance,0.364
683,Coach Carter,2005,Thomas Carter,Drama|History,0.361
684,The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,Drama|Western,0.361
685,The Wash,2001,DJ Pooh,Action|Comedy,0.358
686,Dogville,2003,Lars von Trier,Crime|Drama|Thriller,0.358
687,"Synecdoche, New York",2008,Charlie Kaufman,Drama,0.357
688,Star Trek,2009,J.J. Abrams,Science Fiction|Action|Adventure,0.356
689,A Beautiful Mind,2001,Ron Howard,Drama|Romance,0.354
690,Scream,1996,Wes Craven,Crime|Horror|Mystery,0.352
691,Train to Busan,2016,Yeon Sang-ho,Horror|Thriller|Action|Adventure,0.347
692,Meet Joe Black,1998,Martin Brest,Fantasy|Drama|Romance,0.346
693,Life,1999,Ted Demme,Comedy|Crime,0.346
694,American Psycho,2000,Mary Harron,Thriller|Drama|Crime,0.345
695,Starship Troopers,1997,Paul Verhoeven,Adventure|Action|Thriller|Science Fiction,0.344
696,Miami Vice,2006,Michael Mann,Action|Crime|Thriller,0.342
697,Jaws,1975,Steven Spielberg,Horror|Thriller|Adventure,0.341
698,Surf's Up,2007,Ash Brannon,Animation|Comedy|Family,0.338
699,Everything Everywhere All at Once,2022,Daniel Scheinert,Action|Adventure|Science Fiction,0.335
700,John Wick,2014,Chad Stahelski,Action|Thriller,0.335
701,A Clockwork Orange,1971,Stanley Kubrick,Science Fiction|Crime,0.331
702,Sinners,2025,Ryan Coogler,Horror|Action|Thriller,0.329
703,Casino,1995,Martin Scorsese,Crime|Drama,0.322
704,V for Vendetta,2005,James McTeigue,Action|Thriller|Science Fiction,0.313
705,Man on Fire,2004,Tony Scott,Action|Drama|Thriller,0.31
706,My Own Private Idaho,1991,Gus Van Sant,Drama,0.308
707,Jennifer's Body,2009,Karyn Kusama,Horror|Comedy,0.307
708,The White Ribbon,2009,Michael Haneke,Drama|Mystery,0.295
709,35 Shots of Rum,2008,Claire Denis,Drama,0.287
710,Southland Tales,2006,Richard Kelly,Science Fiction|Thriller|Comedy,0.281
711,Shutter Island,2010,Martin Scorsese,Drama|Thriller|Mystery,0.277
712,Chocolat,1988,Claire Denis,Drama,0.271
713,Tokyo Sonata,2008,Kiyoshi Kurosawa,Drama,0.269
714,Caché,2005,Michael Haneke,Mystery|Drama|Thriller,0.256
715,White Material,2009,Claire Denis,Drama,0.255
716,The Raid,2011,Steven Spielberg,Adventure|Action,0.242
717,A Bride for Rip Van Winkle,2016,Shunji Iwai,Drama|Romance,0.241
718,Les Sénégalaises et la Sénégauloise,2007,Alice Diop,Documentary,0.234
719,Jurassic Park,1993,Steven Spielberg,Adventure|Science Fiction,0.23
720,The Royal Tenenbaums,2001,Wes Anderson,Comedy|Drama,0.224
721,Pulse,2001,Kiyoshi Kurosawa,Horror|Thriller|Mystery,0.219
722,Rushmore,1998,Wes Anderson,Comedy|Drama,0.217
723,Moonrise Kingdom,2012,Wes Anderson,Comedy|Drama|Romance,0.204
724,Arrival,2016,Denis Villeneuve,Drama|Science Fiction|Mystery,0.2
725,Materialists,2025,Celine Song,Romance|Drama,0.183
726,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,Wes Anderson,Drama|Comedy,0.18
727,The Fabelmans,2022,Steven Spielberg,Drama,0.177
728,No Country for Old Men,2007,Joel Coen,Crime|Thriller|Western,0.172
729,The Lego Movie,2014,Phil Lord,Animation|Family|Adventure|Comedy|Fantasy,0.162
730,The Darjeeling Limited,2007,Wes Anderson,Adventure|Drama|Comedy,0.158
731,A.I. Artificial Intelligence,2001,Steven Spielberg,Drama|Science Fiction|Adventure,0.147
732,Minority Report,2002,Steven Spielberg,Science Fiction|Action|Thriller,0.133
