letterboxd_title,letterboxd_year,rating,liked,tmdb_id,tmdb_title,genres,runtime,release_year,original_language,director,tmdb_vote_avg,tmdb_vote_count,tmdb_popularity,budget,imdb_rating,imdb_votes,rt_score,awards,country
Rosemary's Baby,1968,3.5,1,805,Rosemary's Baby,Drama|Horror|Thriller,138,1968,en,Roman Polanski,7.819,4323,5.5697,3200000,8.0,250536,97,1,United States
Mars Express,2023,3.0,0,586810,Mars Express,Animation|Science Fiction|Thriller,89,2023,fr,Jérémie Périn,7.463,517,1.5611,7900000,7.5,12986,100,1,France
Le Samouraï,1967,3.5,1,5511,Le Samouraï,Crime|Thriller|Drama,105,1967,fr,Jean-Pierre Melville,7.77,1235,3.558,0,8.0,63197,92,1,France
All About Lily Chou-Chou,2001,3.0,0,16664,All About Lily Chou-Chou,Drama|Crime,146,2001,ja,Shunji Iwai,7.4,282,5.385,1250000,7.5,13075,68,1,Japan
Malcolm X,1992,4.0,1,1883,Malcolm X,Drama|History,202,1992,en,Spike Lee,7.549,1873,5.0786,34000000,7.7,110202,89,1,Japan
Close-Up,1990,5.0,1,30017,Close-Up,Crime|Drama,98,1990,fa,Abbas Kiarostami,7.94,445,1.8338,0,8.2,24478,89,1,Iran
Incendies,2010,3.0,0,46738,Incendies,Drama|War|Mystery,131,2010,fr,Denis Villeneuve,8.101,3217,7.4487,6800000,8.3,243446,91,1,Canada
The Deer Hunter,1978,3.0,0,11778,The Deer Hunter,Drama|War,183,1978,en,Michael Cimino,7.977,4195,7.0662,15000000,8.1,384814,86,1,United States
The Green Ray,1986,2.5,0,54898,The Green Ray,Drama|Romance,99,1986,fr,Éric Rohmer,7.46,278,1.5261,0,7.6,10916,94,1,France
Akira,1988,3.5,1,149,Akira,Animation|Science Fiction|Action,124,1988,ja,Katsuhiro Otomo,7.945,4706,10.1237,5700000,8.0,223673,91,1,Japan
"The Devil, Probably",1977,4.0,1,32097,"The Devil, Probably",Drama,97,1977,fr,Robert Bresson,6.773,130,0.9093,0,7.0,5363,85,1,France
Black Girl,1966,4.0,1,95597,Black Girl,Drama,65,1966,fr,Ousmane Sembène,7.2,168,1.1479,0,7.4,6363,94,1,Senegal
Shoplifters,2018,4.5,1,505192,Shoplifters,Drama|Crime|Thriller,120,2018,ja,Hirokazu Kore-eda,7.8,2270,4.8756,0,7.9,94390,99,1,Japan
Menace II Society,1993,4.0,1,9516,Menace II Society,Drama|Crime|Thriller,97,1993,en,Albert Hughes,7.491,882,5.0537,3500000,7.5,68471,84,1,United States
Dog Day Afternoon,1975,4.5,1,968,Dog Day Afternoon,Crime|Drama|Thriller,124,1975,en,Sidney Lumet,7.844,3324,4.3921,1800000,8.0,286476,96,1,United States
Chinatown,1974,4.5,1,829,Chinatown,Crime|Drama|Mystery|Thriller,130,1974,en,Roman Polanski,7.91,4216,5.8361,6000000,8.1,374788,98,1,United States
Blue Velvet,1986,4.5,1,793,Blue Velvet,Mystery|Thriller|Crime,120,1986,en,David Lynch,7.6,3782,6.3598,6000000,7.7,234565,91,1,United States
Eyes Wide Shut,1999,1.0,0,345,Eyes Wide Shut,Drama|Thriller|Mystery,160,1999,en,Stanley Kubrick,7.487,6954,14.8213,65000000,7.5,424194,76,1,United Kingdom
The Wolf of Wall Street,2013,1.5,0,106646,The Wolf of Wall Street,Crime|Drama|Comedy,180,2013,en,Martin Scorsese,8.028,25719,21.9354,100000000,8.2,1759293,79,1,United States
